symbol,strategy,day,side,pnl,win,reason,score,health,rsHi,reduce,momz,a200
CRWV.US,ORB5_Z,2026-03-31,long,-2.2089063038737478,0,STOP,3.7436633283442546,UNHEALTHY,-64.62508254443404,False,0.6485007864127685,0
CRWV.US,ORB5_Z,2026-04-01,long,-0.9400784733778308,0,STOP,6.850094256060004,UNHEALTHY,-61.66657689899046,False,0.6612166336550765,0
CRWV.US,ORB5_Z,2026-04-06,long,-1.461220040605755,0,STOP,8.758650737534929,UNHEALTHY,-59.848904059490536,False,0.7453042990328143,0
CRWV.US,ORB5_Z,2026-04-07,long,5.389607176609725,1,CUTOFF,7.844054538623531,UNHEALTHY,-60.719948058453774,False,0.8111897923861496,0
CRWV.US,ORB5_Z,2026-04-09,long,-1.895217195259468,0,STOP,10.585472540865673,UNHEALTHY,-58.10907377060411,False,0.9618318194439586,0
CRWV.US,ORB5_Z,2026-04-10,long,7.357162697690309,1,CUTOFF,11.813420216675603,UNHEALTHY,-56.93959979364227,False,1.127571319008585,0
CRWV.US,ORB5_Z,2026-04-13,long,3.97336961533392,1,CUTOFF,16.655733349508715,UNHEALTHY,-52.32787300046788,False,1.422832319653008,0
CRWV.US,ORB5_Z,2026-04-15,long,-1.6325170747959317,0,STOP,50.11107655680597,HEALTHY,-46.75135566018478,True,1.9411298646862831,1
CRWV.US,ORB5_Z,2026-04-21,long,-1.097358024570216,0,STOP,48.645298575756065,HEALTHY,-48.147334689756114,False,2.2700603163695563,1
CRWV.US,ORB5_Z,2026-04-22,long,-1.7948610525076587,0,STOP,47.79668428297695,HEALTHY,-48.95553877811718,False,2.18964350061086,1
CRWV.US,ORB5_Z,2026-04-23,long,-1.29387745151813,0,STOP,50.29294819923882,HEALTHY,-46.57814457215349,False,2.141777735208875,1
CRWV.US,ORB5_Z,2026-04-28,long,0.30400336675771644,1,CUTOFF,44.79140622123441,HEALTHY,-51.81770836072912,False,1.6512496253357383,1
CRWV.US,ORB5_Z,2026-04-29,long,4.340864416415235,1,CUTOFF,42.327330775951275,HEALTHY,-54.16444688004639,False,1.5062759909801762,1
CRWV.US,ORB5_Z,2026-05-01,long,3.1413632994381895,1,CUTOFF,44.318887396172855,HEALTHY,-52.267726289359175,False,1.2984748587607657,1
RKLB.US,DC20,2025-01-27,long,0.6683264887063721,1,CUTOFF,95.2147765327244,HEALTHY,-3.795450921214849,False,0.9508555801960182,1
RKLB.US,DC20,2025-02-03,long,-0.9841807782885184,0,STOP,92.21431583208712,HEALTHY,-6.653032540869397,False,0.5064434701259416,1
RKLB.US,DC20,2025-02-13,long,0.9127720299679,1,CUTOFF,86.32940528558282,UNHEALTHY,-12.257709251825865,False,-0.9156734227270742,1
RKLB.US,DC20,2025-02-19,long,-1.0273601517279882,0,STOP,84.8306487054721,UNHEALTHY,-13.68509647097894,False,-0.8833775045705151,1
RKLB.US,DC20,2025-02-28,long,2.1943862275449186,1,CUTOFF,64.05121415406035,UNHEALTHY,-33.47503413899013,False,-2.173134908915376,1
RKLB.US,DC20,2025-03-05,long,-0.711920529801326,0,CUTOFF,61.74719085595611,UNHEALTHY,-35.66934204194655,False,-1.7510807533224992,1
RKLB.US,DC20,2025-03-11,long,-0.04999999999999008,0,CUTOFF,58.018391870137044,UNHEALTHY,-39.22057917129804,False,-1.1845471637057312,1
