ticker,src,shade,z
AAOI,gmax,亮蓝,4.198497642316554
AAOI,gmin,深红,-1.569060509539323
AAOI,recent,浅蓝,-1.5401149923023318
AAOI,recent,浅蓝,-1.0831752834768282
AAOI,recent,浅蓝,-1.121642359495062
AAOI,recent,浅蓝,-0.952618025928059
AAOI,recent,亮红,-1.1822453075028694
AAOI,recent,亮红,-1.2207872874858734
AAOI,recent,亮红,-1.4661876200271713
AAOI,recent,亮蓝,-1.569060509539323
AAOI,recent,亮蓝,-1.3639693076852253
AAOI,recent,亮蓝,-1.1746801266125204
AAOI,recent,亮蓝,-1.113884109482033
AAOI,recent,亮蓝,-0.9938404877170931
AAOI,recent,浅,-1.1186679910992063
AAOI,recent,浅,-1.0264109449392693
AAOI,recent,亮蓝,-0.7791438070737893
AAOI,recent,亮蓝,-0.6360615891946614
AAOI,recent,亮蓝,-0.34976048164421075
AAOI,recent,亮蓝,-0.1564901093937594
AAOI,recent,亮蓝,-0.015657046535552055
AAOI,recent,亮蓝,-0.03230591342022461
AAOI,recent,亮蓝,0.16630871421989665
AAOI,recent,亮蓝,0.34446210936495947
AAOI,recent,浅,0.8662761919014765
AAOI,recent,浅蓝,1.158560110773576
AAOI,recent,浅蓝,1.3273461104419852
AAOI,recent,浅蓝,1.5028756673881645
AAOI,recent,浅红,1.655776246770637
AAOI,recent,浅红,1.5355873912123217
AAOI,recent,浅,1.4763420862057808
AAOI,recent,浅,1.5263973141959675
AAOI,recent,浅蓝,1.7491640316179737
AAOI,recent,浅蓝,1.8562479438726414
AAOI,recent,浅红,1.850402747893893
AAOI,extrema,深红,-1.4012574254538697
AAOI,extrema,浅红,1.9737380305566308
AAOI,extrema,浅红,-0.6478202840766589
AAOI,extrema,浅蓝,4.198497642316554
AAOI,extrema,浅,-0.26983672891915256
AAOI,extrema,亮蓝,0.22319724777493305
AAOI,extrema,亮红,-0.5327364124966069
AAOI,extrema,浅蓝,2.2978729308230537
ALAB,gmax,深蓝,3.4558321603603543
ALAB,recent,浅蓝,1.6739503996585199
ALAB,recent,浅蓝,1.8309690242373011
ALAB,recent,浅蓝,2.00616497651032
ALAB,recent,浅,2.236254373432038
ALAB,recent,深蓝,2.3051766634697968
ALAB,recent,深蓝,2.3571825838965137
