symbol,model,day,is_gap,entry,exit,result,pnl_pct
CRWV.US,A_OLD,2025-04-01,False,38.5385,41.079449999999994,TP,6.593276853017101
CRWV.US,A_OLD,2025-04-09,False,44.71066599999999,47.974000999999994,TP,7.2987841424683895
CRWV.US,A_OLD,2025-04-16,False,40.7407,40.709635,EOD,-0.07625053079598074
CRWV.US,A_OLD,2025-04-22,False,37.307269999999995,38.490745,CUTOFF,3.1722369393418535
CRWV.US,A_OLD,2025-04-24,False,42.712669999999996,41.27935,STOP,-3.3557255961755494
CRWV.US,A_OLD,2025-04-25,False,42.32228,44.17790000000001,TP,4.3844991337896
CRWV.US,A_OLD,2025-04-29,False,42.383340999999994,44.98049850000001,TP,6.127779072442675
CRWV.US,A_OLD,2025-04-30,True,41.065023999999994,41.27935,CUTOFF,0.5219186040169048
CRWV.US,A_OLD,2025-05-08,False,54.764709999999994,54.972500000000004,CUTOFF,0.3794231723312511
CRWV.US,A_OLD,2025-05-12,True,54.37432,56.89154,TP,4.629428009398557
CRWV.US,A_OLD,2025-05-13,True,59.809749999999994,64.577695,TP,7.97185241536708
CRWV.US,A_OLD,2025-05-14,True,66.90684,67.42627,CUTOFF,0.7763481282332267
CRWV.US,A_OLD,2025-06-03,True,129.56944,138.85054,TP,7.16303165314291
CRWV.US,A_OLD,2025-06-10,True,156.6565,154.82255,CUTOFF,-1.1706823527909709
CRWV.US,A_OLD,2025-06-13,True,148.13799,147.11640500000001,CUTOFF,-0.6896171603246322
CRWV.US,A_OLD,2025-06-16,True,149.11897,158.42075,CUTOFF,6.237824738193946
CRWV.US,A_OLD,2025-06-17,False,163.31314999999998,171.84403500000002,CUTOFF,5.223636308527539
CRWV.US,A_OLD,2025-06-27,False,164.56439999999998,159.910005,CUTOFF,-2.828312198750134
CRWV.US,A_OLD,2025-06-30,False,167.11694999999997,162.97847000000002,CUTOFF,-2.4763975168287593
CRWV.US,A_OLD,2025-07-03,False,157.88772999999998,164.907505,TP,4.446054801091897
