ticker,sector,type,ann_vol_pct,entry,cta,exit,score,calmar,cagr_pct,max_dd_pct,sharpe,win_rate,n_trades,in_market_pct
AME,🏭 工业/航天制造,C,21.6,dc20,none,trail_8,2.54,0.1,3.0,-31.3,-0.04,53.6,28,73.6
SPY,🔵 大盘/核心,D,13.0,ema_cross,xlv,trail_12,2.53,0.25,7.3,-29.5,0.22,80.0,5,78.9
PCAR,🚚 物流/运输,C,25.9,vol+ema,xlv,rsi_fade,2.53,0.27,5.9,-21.6,0.12,58.3,36,23.6
PLTR,💼 软件/AI数据,A,53.0,bb_lo,smh,ema_x,2.52,1.29,19.1,-14.8,0.82,61.5,13,6.8
CRM,💼 软件/AI数据,C,34.2,vol+ema,none,rsi80,2.52,0.38,7.6,-19.9,0.23,75.0,48,26.3
GDX,🥇 黄金/避险,C,44.4,ema20_dip,none,rsi80,2.52,0.16,7.6,-48.6,0.22,61.8,68,54.1
MS,💰 金融,C,26.0,dc20,none,trail_8,2.51,0.11,5.4,-47.3,0.11,47.4,38,56.9
IREN,🪙 加密/Fintech,A,97.0,vol_surge,qqq,rsi80,2.51,1.42,54.3,-38.2,1.02,57.4,47,13.6
LLY,🏥 消费/健康,C,42.0,rsi28,smh,rsi80,2.48,0.45,8.7,-19.4,0.32,81.6,49,16.7
RKLB,🚀 太空/机器人,A,83.3,bb_lo,smh,ma_x,2.46,0.06,3.1,-51.4,0.09,70.6,17,18.8
TSLA,🔵 大盘/核心,B,49.2,rsi35,soxx,rsi80,2.43,0.14,7.3,-53.7,0.22,71.4,77,23.7
LUNR,🚀 太空/机器人,A,103.2,ema20_dip,soxx,obv_down,2.38,0.45,15.9,-35.5,0.42,38.9,72,18.3
GLD,🥇 黄金/避险,D,27.0,obv_up,qqq,trail_8,2.17,0.43,10.4,-24.5,0.42,75.0,16,86.4
HIMS,🏥 消费/健康,B,102.0,vol_surge,none,rsi80,2.15,1.68,55.0,-32.8,1.18,74.1,58,28.3
ORCL,💼 软件/AI数据,C,62.0,vol_surge,combo,trail_8,1.86,0.18,6.9,-38.2,0.18,48.1,27,41.1
COIN,🪙 加密/Fintech,A,73.0,cmf_pos,smh,trail_12,1.63,0.08,3.2,-38.1,0.08,44.8,29,13.3
ADBE,💼 软件/AI数据,C,30.5,ema_cross,soft,ma_x,1.16,0.36,13.4,-37.6,0.47,91.7,12,50.5
BTC-USD,🪙 加密/Fintech,B,39.1,ema_cross,qqq,rsi80,0.63,0.16,3.6,-23.1,-0.12,68.4,19,4.7
MSTR,🪙 加密/Fintech,A,68.0,bb_lo,smh,ma_x,0.15,0.4,10.0,-25.2,0.33,77.8,9,4.4
