symbol,strategy,filled,phantom_rate_pct,win_rate,pf,cum_pct,max_dd,avg_pnl,recency_avg_pnl,recency_win_rate,recency_pf,last_90d_n,last_90d_pf,last_90d_cum_pct,last_180d_n,last_180d_pf,last_180d_cum_pct,n_tp,n_stop,composite_score,passes_filter,filter_fail_reasons
OKLO.US,VWAP_MR,231,0.0,48.5,0.89,-18.05,-30.99,-0.074,-0.119,49.3,0.82,43,0.88,-2.98,82,0.79,-10.55,56,62,-0.113,False,近期PF<1.1|近半年PF<1.0
OKLO.US,EMA_X,131,0.0,42.7,0.88,-15.11,-21.3,-0.108,-0.221,38.5,0.74,21,0.54,-9.11,39,0.55,-15.57,36,58,-0.252,False,近期PF<1.1|近半年PF<1.0
OKLO.US,DC20,126,40.6,50.0,1.13,8.73,-16.83,0.08,0.124,52.9,1.25,20,1.0,-0.15,38,1.33,5.19,15,38,0.119,True,
OKLO.US,TTM_SQ,251,0.0,38.6,0.78,-38.98,-48.2,-0.182,-0.088,41.9,0.88,44,0.84,-5.32,78,1.14,5.95,43,123,-0.058,False,近期PF<1.1
OKLO.US,ST_10_3,56,0.0,46.4,0.93,-3.1,-8.43,-0.046,-0.123,41.0,0.83,1,0.0,-1.82,5,2.35,2.73,8,24,0.093,False,近期PF<1.1
INTC.US,ORB5_Z,186,0.0,36.0,1.35,55.53,-21.2,0.267,0.503,41.4,1.56,34,1.66,24.57,67,1.85,54.32,3,109,0.548,True,
INTC.US,ORB15_VWAP,29,80.4,31.0,0.21,-15.05,-16.3,-0.555,-0.507,35.8,0.19,5,0.2,-2.76,11,0.3,-3.72,0,6,-0.466,False,近期PF<1.1|近半年PF<1.0
INTC.US,VWAP_PB,26,56.7,30.8,0.61,-4.8,-5.74,-0.185,-0.161,35.0,0.66,2,0.0,-1.53,9,0.59,-1.74,6,16,-0.176,False,近期PF<1.1|近半年PF<1.0
INTC.US,VWAP_MR,228,0.0,43.0,0.63,-28.86,-30.15,-0.146,-0.128,43.5,0.71,37,0.76,-4.25,73,0.8,-6.1,55,68,-0.118,False,近期PF<1.1|近半年PF<1.0
INTC.US,EMA_X,120,0.0,39.2,0.67,-17.62,-21.03,-0.157,-0.094,46.8,0.81,18,1.41,2.84,34,0.76,-4.26,28,53,-0.116,False,近期PF<1.1|近半年PF<1.0
INTC.US,DC20,125,38.4,45.6,1.18,6.7,-5.84,0.055,0.159,48.7,1.44,24,1.77,6.95,42,1.25,4.01,10,42,0.119,True,
INTC.US,TTM_SQ,247,0.0,36.8,0.73,-25.72,-27.09,-0.117,-0.057,41.3,0.87,42,1.03,0.34,79,0.91,-3.35,44,127,-0.065,False,近期PF<1.1|近半年PF<1.0
INTC.US,ST_10_3,74,0.0,33.8,0.51,-13.1,-14.17,-0.187,-0.148,38.3,0.63,17,0.67,-2.37,31,0.58,-4.65,4,33,-0.156,False,近期PF<1.1|近半年PF<1.0
IREN.US,ORB5_Z,157,0.0,37.6,1.31,69.69,-23.83,0.409,0.691,39.9,1.57,26,1.57,16.84,57,1.43,31.51,3,90,0.593,True,
IREN.US,ORB15_VWAP,29,78.4,55.2,1.67,15.44,-7.77,0.536,0.696,55.2,1.73,1,inf,4.67,5,0.98,-0.31,3,6,0.437,False,近半年PF<1.0
IREN.US,VWAP_PB,26,57.4,46.2,1.51,7.45,-5.08,0.289,0.384,43.6,1.67,3,1.6,1.01,7,1.58,2.32,8,13,0.349,True,
IREN.US,VWAP_MR,225,0.0,49.8,0.88,-18.78,-24.01,-0.081,-0.074,49.2,0.9,39,1.12,2.38,76,0.98,-1.75,71,72,-0.06,False,近期PF<1.1|近半年PF<1.0
IREN.US,EMA_X,133,0.0,51.1,1.21,19.31,-13.05,0.149,0.209,54.7,1.32,23,1.0,-0.28,38,1.31,7.12,43,51,0.191,True,
IREN.US,DC20,122,44.0,48.4,0.96,-4.15,-18.48,-0.025,0.119,53.3,1.19,24,1.3,3.95,45,1.44,12.11,14,47,0.135,True,
IREN.US,TTM_SQ,245,0.0,40.0,0.87,-23.51,-37.8,-0.096,-0.202,38.4,0.75,40,0.62,-11.8,77,0.83,-10.32,44,122,-0.16,False,近期PF<1.1|近半年PF<1.0
IREN.US,ST_10_3,85,0.0,37.6,0.95,-3.19,-11.67,-0.029,0.071,43.5,1.13,16,1.45,3.24,33,1.45,7.26,16,36,0.096,True,
TSLL.US,ORB5_Z,185,0.0,28.1,1.01,-11.82,-35.81,0.014,-0.5,22.5,0.62,32,0.29,-28.49,62,0.51,-32.72,2,123,-0.406,False,近期PF<1.1|近半年PF<1.0
TSLL.US,ORB15_VWAP,24,82.0,41.7,0.52,-14.47,-19.27,-0.623,0.252,57.0,1.35,7,1.84,3.33,8,1.95,3.81,1,9,0.144,True,
TSLL.US,VWAP_PB,24,52.0,37.5,1.55,8.0,-5.4,0.34,0.485,40.6,2.0,4,1.13,0.23,5,2.21,2.41,6,13,0.455,True,
TSLL.US,VWAP_MR,230,0.0,43.5,0.69,-44.77,-48.02,-0.245,-0.261,44.8,0.62,41,0.66,-8.3,80,0.64,-16.98,60,88,-0.243,False,近期PF<1.1|近半年PF<1.0
TSLL.US,EMA_X,127,0.0,40.9,0.86,-15.56,-22.51,-0.118,-0.301,37.3,0.62,24,0.5,-9.37,48,0.59,-13.78,28,64,-0.26,False,近期PF<1.1|近半年PF<1.0
