ticker,sector,rank,entry,cta,exit,score,win_rate,ret_1m,ret_3m,ret_ytd,cagr_1y,dd_1y
VRT,🏗 AI电力/数据中心,3,bb_lo,none,rsi_fade,2.9,73.7,22.4,28.6,37.0,85.4,-20.7
GEV,🏗 AI电力/数据中心,1,ema2060,spy,rsi80,3.36,83.3,17.3,65.4,61.7,168.8,-17.5
GEV,🏗 AI电力/数据中心,2,cmf_pos,none,ema_x,3.28,81.8,16.8,56.2,53.6,168.6,-15.0
GEV,🏗 AI电力/数据中心,3,rsi35,soxx,ema_x,2.59,84.6,0.0,2.5,7.0,30.7,-4.1
MRVL,⚡ 半导体/AI算力,1,ema20_dip,smh,rsi80,3.34,69.0,46.5,59.7,51.2,98.3,-21.4
MRVL,⚡ 半导体/AI算力,2,ema_cross,combo,ma_x,3.33,80.0,59.5,49.6,49.6,49.8,-10.8
MRVL,⚡ 半导体/AI算力,3,bb_lo,soxx,ma_x,2.68,67.6,0.0,18.2,18.2,57.3,-8.1
WDC,💾 存储,1,ma5200,none,rsi_fade,3.27,64.6,22.2,73.2,108.4,402.4,-23.4
WDC,💾 存储,2,dc20,qqq,ma_x,3.23,63.6,22.2,67.8,116.3,542.2,-20.6
WDC,💾 存储,3,bb_lo,smh,rsi70,2.72,71.9,0.0,24.9,24.9,24.9,-6.1
FN,🌐 光子/高速连接,1,ema20_dip,none,rsi80,3.25,76.1,36.0,54.3,68.6,241.9,-19.6
FN,🌐 光子/高速连接,2,dc20|ema,qqq,ma_x,3.12,63.9,37.9,38.6,51.5,130.7,-20.6
FN,🌐 光子/高速连接,3,bb_lo,none,rsi80,2.78,81.1,0.0,28.7,28.7,90.7,-8.3
TER,🚀 太空/机器人,1,ema20_dip,soxx,ma_x,3.25,56.3,26.8,67.1,96.6,299.9,-20.4
TER,🚀 太空/机器人,2,ema20_dip+obv,spy,ma_x,3.25,54.3,26.8,67.1,96.6,251.2,-20.4
TER,🚀 太空/机器人,3,bb_lo,smh,rsi80,2.58,72.0,19.2,30.8,30.8,46.5,-14.5
LUNR,🚀 太空/机器人,1,ma5200,none,rsi80,3.2,75.0,52.3,41.4,79.8,280.7,-35.2
