symbol,strategy,filled,phantom,win,pf,rec_pf,d90,m18,grade
AAOI.US,ORB5_Z,168,0,36,1.64,1.98,56.2,280.9,✅强
ARM.US,ORB5_Z,190,0,36,1.25,1.35,26.3,35.7,⚠️中等
MU.US,ST_10_3,83,0,51,1.53,1.67,3.0,10.6,✅强
MRVL.US,无可信策略,0,0,0,0.0,0.0,0.0,0.0,❌不建议日内
DELL.US,ORB5_Z,194,0,43,1.53,2.66,51.9,72.0,✅强
ALAB.US,ORB5_Z,173,0,39,1.4,1.8,47.4,79.8,✅强
