symbol,strategy,filled,phantom,win,pf,rec_pf,d90,m18,grade
MXL.US,ORB5_Z,183,0,38,1.63,2.7,105.2,140.8,✅强
ORCL.US,ORB5_Z,148,0,35,1.4,1.39,14.4,35.7,✅强
