symbol,strategy,filled,phantom_rate_pct,win_rate,pf,cum_pct,max_dd,avg_pnl,recency_avg_pnl,recency_win_rate,recency_pf,last_90d_n,last_90d_pf,last_90d_cum_pct,last_180d_n,last_180d_pf,last_180d_cum_pct,n_tp,n_stop,composite_score,passes_filter,filter_fail_reasons
DELL.US,ORB15_VWAP,35,78.7,45.7,0.98,-0.76,-10.85,-0.011,-0.103,47.7,0.78,5,2.97,1.6,11,0.85,-0.79,1,8,-0.075,False,近期PF<1.1|近半年PF<1.0
DELL.US,VWAP_PB,34,45.2,29.4,0.6,-5.19,-8.05,-0.154,-0.199,29.3,0.58,3,0.71,-0.41,9,0.53,-2.34,8,23,-0.208,False,近期PF<1.1|近半年PF<1.0
DELL.US,VWAP_MR,211,0.0,41.7,0.54,-29.85,-33.75,-0.166,-0.059,47.7,0.82,31,1.69,5.01,72,0.95,-1.35,53,74,-0.068,False,近期PF<1.1|近半年PF<1.0
DELL.US,EMA_X,140,0.0,42.1,0.73,-14.64,-20.64,-0.109,-0.002,46.9,1.0,24,1.17,1.62,43,0.79,-4.31,32,60,-0.053,False,近期PF<1.1|近半年PF<1.0
DELL.US,DC20,132,42.1,36.4,0.78,-9.01,-16.61,-0.069,0.1,43.9,1.31,23,1.62,4.59,42,1.47,5.8,16,47,0.078,True,
DELL.US,TTM_SQ,240,0.0,33.8,0.66,-27.04,-30.39,-0.128,-0.068,35.9,0.83,46,1.13,2.14,87,0.77,-8.03,38,118,-0.087,False,近期PF<1.1|近半年PF<1.0
DELL.US,ST_10_3,58,0.0,32.8,0.41,-11.56,-11.59,-0.21,-0.255,35.4,0.45,10,0.51,-2.42,15,0.57,-3.14,6,33,-0.232,False,近期PF<1.1|近半年PF<1.0
ALAB.US,ORB5_Z,173,0.0,38.7,1.4,79.83,-14.59,0.386,0.83,40.9,1.8,35,2.14,47.43,63,2.05,84.23,1,100,0.893,True,
ALAB.US,ORB15_VWAP,24,82.9,70.8,1.67,6.72,-5.46,0.283,0.358,72.6,1.79,2,inf,2.7,7,0.92,-0.53,0,2,0.213,False,近半年PF<1.0
ALAB.US,VWAP_PB,35,41.7,40.0,0.83,-3.31,-8.55,-0.09,-0.269,32.5,0.63,4,0.46,-2.15,11,0.75,-1.88,8,17,-0.204,False,近期PF<1.1|近半年PF<1.0
ALAB.US,VWAP_MR,209,0.0,42.1,0.68,-34.04,-37.07,-0.192,-0.237,39.7,0.64,30,0.88,-2.61,61,0.57,-15.93,52,73,-0.235,False,近期PF<1.1|近半年PF<1.0
ALAB.US,EMA_X,156,0.0,50.6,1.12,9.2,-12.19,0.065,0.127,55.0,1.25,28,1.71,8.33,57,1.01,-0.23,39,59,0.075,True,
ALAB.US,DC20,129,43.2,48.1,1.14,7.58,-8.8,0.064,0.014,49.6,1.03,32,1.13,1.83,50,1.07,1.38,16,50,0.028,False,近期PF<1.1
ALAB.US,TTM_SQ,248,0.0,39.1,0.91,-13.67,-28.79,-0.051,0.044,41.6,1.08,48,1.14,3.38,87,1.04,1.1,43,110,0.016,False,近期PF<1.1
ALAB.US,ST_10_3,47,0.0,46.8,1.08,1.47,-9.11,0.039,0.198,47.0,1.42,11,1.41,2.01,20,1.84,6.96,9,19,0.211,True,
